   NODE NO           X           U     U EXACT  DIFFERENCE
         1       0.000       0.000       0.000       0.000
         2       0.100      -0.040      -0.031      -0.009
         3       0.200      -0.080      -0.061      -0.019
         4       0.300      -0.116      -0.088      -0.028
         5       0.400      -0.146      -0.111      -0.035
         6       0.500      -0.164      -0.128      -0.036
         7       0.600      -0.165      -0.136      -0.029
         8       0.700      -0.143      -0.131      -0.011
         9       0.800      -0.092      -0.111       0.019
        10       0.900      -0.005      -0.069       0.064
        11       1.000       0.000       0.000       0.000
